"Country or Area","Year(s)","Variant","Value"
"World","2033","Instant replacement","8602917.039"
"World","2033","Zero migration","8756329.592"
"World","2033","Constant mortality","8663565.139"
"World","2033","No change","8822800.968"
"World","2033","Momentum","8537037.035"
"World","2032","Medium","8687227.85"
"World","2032","High","8928511.62"
"World","2032","Low","8445931.942"
"World","2032","Constant fertility","8828205.142"
"World","2032","Instant replacement","8544905.324"
"World","2032","Zero migration","8688373.491"
"World","2032","Constant mortality","8607674.26"
"World","2032","No change","8746392.752"
"World","2032","Momentum","8487798.41"
"World","2031","Medium","8618349.489"
"World","2031","High","8830852.657"
"World","2031","Low","8405835.549"
"World","2031","Constant fertility","8739739.041"
"World","2031","Instant replacement","8486146.562"
"World","2031","Zero migration","8619381.399"
"World","2031","Constant mortality","8549946.154"
"World","2031","No change","8669553.351"
"World","2031","Momentum","8437180.627"
"World","2030","Medium","8548487.4"
"World","2030","High","8733522.238"
"World","2030","Low","8363452.46"
"World","2030","Constant fertility","8651760.857"
"World","2030","Instant replacement","8426682.643"
"World","2030","Zero migration","8549397.138"
"World","2030","Constant mortality","8490400.483"
"World","2030","No change","8592292.319"
"World","2030","Momentum","8385213.571"
"World","2029","Medium","8477660.693"
"World","2029","High","8636743.362"
"World","2029","Low","8318588.927"
"World","2029","Constant fertility","8564266.639"
"World","2029","Instant replacement","8366355.643"
"World","2029","Zero migration","8478440.288"
"World","2029","Constant mortality","8429045.059"
"World","2029","No change","8514604.769"
"World","2029","Momentum","8331731.212"
"World","2028","Medium","8405863.295"
"World","2028","High","8540558.6"
"World","2028","Low","8271186.533"
"World","2028","Constant fertility","8477230.082"
"World","2028","Instant replacement","8305138.835"
"World","2028","Zero migration","8406509.245"
"World","2028","Constant mortality","8365877.802"
"World","2028","No change","8436474.59"
"World","2028","Momentum","8276712.4"
"World","2027","Medium","8333078.316"
"World","2027","High","8444907.015"
"World","2027","Low","8221263.565"
"World","2027","Constant fertility","8390613.168"
"World","2027","Instant replacement","8243335.468"
"World","2027","Zero migration","8333590.274"
"World","2027","Constant mortality","8300890.732"
"World","2027","No change","8357881.165"
"World","2027","Momentum","8220479.122"
"World","2026","Medium","8259276.737"
"World","2026","High","8349711.682"
"World","2026","Low","8168847.568"
"World","2026","Constant fertility","8304378.558"
"World","2026","Instant replacement","8181356.338"
"World","2026","Zero migration","8259664.654"
"World","2026","Constant mortality","8234074.94"
"World","2026","No change","8278806.695"
"World","2026","Momentum","8163469.617"
"World","2025","Medium","8184437.46"
"World","2025","High","8254962.67"
"World","2025","Low","8113912.187"
"World","2025","Constant fertility","8218501.052"
"World","2025","Instant replacement","8119378.713"
"World","2025","Zero migration","8184719.173"
"World","2025","Constant mortality","8165423.959"
"World","2025","No change","8199244.152"
"World","2025","Momentum","8105883.47"
"World","2024","Medium","8108605.388"
"World","2024","High","8160744.552"
"World","2024","Low","8056356.318"
"World","2024","Constant fertility","8132971.612"
"World","2024","Instant replacement","8057747.087"
"World","2024","Zero migration","8108747.449"
"World","2024","Constant mortality","8094936.831"
"World","2024","No change","8119198.856"
"World","2024","Momentum","8048107.497"
"World","2023","Medium","8031800.429"
"World","2023","High","8067252.321"
"World","2023","Low","7995991.152"
"World","2023","Constant fertility","8047799.271"
"World","2023","Instant replacement","7996064.472"
"World","2023","Zero migration","8031752.277"
"World","2023","Constant mortality","8022617.893"
"World","2023","No change","8038690.309"
"World","2023","Momentum","7989753.83"
"World","2022","Medium","7953952.567"
"World","2022","High","7974797.333"
"World","2022","Low","7932536.436"
"World","2022","Constant fertility","7963012.294"
"World","2022","Instant replacement","7932878.437"
"World","2022","Zero migration","7953746.491"
"World","2022","Constant mortality","7948477.216"
"World","2022","No change","7957752.79"
"World","2022","Momentum","7929323.332"
"World","2021","Medium","7874965.825"
"World","2021","High","7883801.825"
"World","2021","Low","7865623.997"
"World","2021","Constant fertility","7878657.216"
"World","2021","Instant replacement","7866230.226"
"World","2021","Zero migration","7874751.751"
"World","2021","Constant mortality","7872530.315"
"World","2021","No change","7876434.783"
"World","2021","Momentum","7864787.63"
"World","2020","Medium","7794798.739"
"World","2020","High","7794798.739"
"World","2020","Low","7794798.739"
"World","2020","Constant fertility","7794798.739"
"World","2020","Instant replacement","7794798.739"
"World","2020","Zero migration","7794798.739"
"World","2020","Constant mortality","7794798.739"
"World","2020","No change","7794798.739"
"World","2020","Momentum","7794798.739"
"World","2019","Medium","7713468.1"
"World","2019","High","7713468.1"
"World","2019","Low","7713468.1"
"World","2019","Constant fertility","7713468.1"
"World","2019","Instant replacement","7713468.1"
"World","2019","Zero migration","7713468.1"
"World","2019","Constant mortality","7713468.1"
"World","2019","No change","7713468.1"
"World","2019","Momentum","7713468.1"
"World","2018","Medium","7631091.04"
"World","2018","High","7631091.04"
"World","2018","Low","7631091.04"
"World","2018","Constant fertility","7631091.04"
"World","2018","Instant replacement","7631091.04"
"World","2018","Zero migration","7631091.04"
"World","2018","Constant mortality","7631091.04"
"World","2018","No change","7631091.04"
"World","2018","Momentum","7631091.04"
"World","2017","Medium","7547858.925"
"World","2017","High","7547858.925"
"World","2017","Low","7547858.925"
"World","2017","Constant fertility","7547858.925"
"World","2017","Instant replacement","7547858.925"
"World","2017","Zero migration","7547858.925"
"World","2017","Constant mortality","7547858.925"
"World","2017","No change","7547858.925"
"World","2017","Momentum","7547858.925"
"World","2016","Medium","7464022.049"
"World","2016","High","7464022.049"
"World","2016","Low","7464022.049"
"World","2016","Constant fertility","7464022.049"
"World","2016","Instant replacement","7464022.049"
"World","2016","Zero migration","7464022.049"
"World","2016","Constant mortality","7464022.049"
"World","2016","No change","7464022.049"
"World","2016","Momentum","7464022.049"
"World","2015","Medium","7379797.139"
"World","2015","High","7379797.139"
"World","2015","Low","7379797.139"
"World","2015","Constant fertility","7379797.139"
"World","2015","Instant replacement","7379797.139"
"World","2015","Zero migration","7379797.139"
"World","2015","Constant mortality","7379797.139"
"World","2015","No change","7379797.139"
"World","2015","Momentum","7379797.139"
"World","2014","Medium","7295290.765"
